,buying,maint,lug_boot,safety,class
0,vhigh,vhigh,small,low,unacc
1,vhigh,vhigh,small,med,unacc
2,vhigh,vhigh,small,high,unacc
3,vhigh,vhigh,med,low,unacc
4,vhigh,vhigh,med,med,unacc
5,vhigh,vhigh,med,high,unacc
6,vhigh,vhigh,big,low,unacc
7,vhigh,vhigh,big,med,unacc
8,vhigh,vhigh,big,high,unacc
9,vhigh,vhigh,small,low,unacc
10,vhigh,vhigh,small,med,unacc
11,vhigh,vhigh,small,high,unacc
12,vhigh,vhigh,med,low,unacc
13,vhigh,vhigh,med,med,unacc
14,vhigh,vhigh,med,high,unacc
15,vhigh,vhigh,big,low,unacc
16,vhigh,vhigh,big,med,unacc
17,vhigh,vhigh,big,high,unacc
18,vhigh,vhigh,small,low,unacc
19,vhigh,vhigh,small,med,unacc
20,vhigh,vhigh,small,high,unacc
21,vhigh,vhigh,med,low,unacc
22,vhigh,vhigh,med,med,unacc
23,vhigh,vhigh,med,high,unacc
24,vhigh,vhigh,big,low,unacc
25,vhigh,vhigh,big,med,unacc
26,vhigh,vhigh,big,high,unacc
27,vhigh,vhigh,small,low,unacc
28,vhigh,vhigh,small,med,unacc
29,vhigh,vhigh,small,high,unacc
30,vhigh,vhigh,med,low,unacc
31,vhigh,vhigh,med,med,unacc
32,vhigh,vhigh,med,high,unacc
33,vhigh,vhigh,big,low,unacc
34,vhigh,vhigh,big,med,unacc
35,vhigh,vhigh,big,high,unacc
36,vhigh,vhigh,small,low,unacc
37,vhigh,vhigh,small,med,unacc
38,vhigh,vhigh,small,high,unacc
39,vhigh,vhigh,med,low,unacc
40,vhigh,vhigh,med,med,unacc
41,vhigh,vhigh,med,high,unacc
42,vhigh,vhigh,big,low,unacc
43,vhigh,vhigh,big,med,unacc
44,vhigh,vhigh,big,high,unacc
45,vhigh,vhigh,small,low,unacc
46,vhigh,vhigh,small,med,unacc
47,vhigh,vhigh,small,high,unacc
48,vhigh,vhigh,med,low,unacc
49,vhigh,vhigh,med,med,unacc
50,vhigh,vhigh,med,high,unacc
51,vhigh,vhigh,big,low,unacc
52,vhigh,vhigh,big,med,unacc
53,vhigh,vhigh,big,high,unacc
54,vhigh,vhigh,small,low,unacc
55,vhigh,vhigh,small,med,unacc
56,vhigh,vhigh,small,high,unacc
57,vhigh,vhigh,med,low,unacc
58,vhigh,vhigh,med,med,unacc
59,vhigh,vhigh,med,high,unacc
60,vhigh,vhigh,big,low,unacc
61,vhigh,vhigh,big,med,unacc
62,vhigh,vhigh,big,high,unacc
63,vhigh,vhigh,small,low,unacc
64,vhigh,vhigh,small,med,unacc
65,vhigh,vhigh,small,high,unacc
66,vhigh,vhigh,med,low,unacc
67,vhigh,vhigh,med,med,unacc
68,vhigh,vhigh,med,high,unacc
69,vhigh,vhigh,big,low,unacc
70,vhigh,vhigh,big,med,unacc
71,vhigh,vhigh,big,high,unacc
72,vhigh,vhigh,small,low,unacc
73,vhigh,vhigh,small,med,unacc
74,vhigh,vhigh,small,high,unacc
75,vhigh,vhigh,med,low,unacc
76,vhigh,vhigh,med,med,unacc
77,vhigh,vhigh,med,high,unacc
78,vhigh,vhigh,big,low,unacc
79,vhigh,vhigh,big,med,unacc
80,vhigh,vhigh,big,high,unacc
81,vhigh,vhigh,small,low,unacc
82,vhigh,vhigh,small,med,unacc
83,vhigh,vhigh,small,high,unacc
84,vhigh,vhigh,med,low,unacc
85,vhigh,vhigh,med,med,unacc
86,vhigh,vhigh,med,high,unacc
87,vhigh,vhigh,big,low,unacc
88,vhigh,vhigh,big,med,unacc
89,vhigh,vhigh,big,high,unacc
90,vhigh,vhigh,small,low,unacc
91,vhigh,vhigh,small,med,unacc
92,vhigh,vhigh,small,high,unacc
93,vhigh,vhigh,med,low,unacc
94,vhigh,vhigh,med,med,unacc
95,vhigh,vhigh,med,high,unacc
96,vhigh,vhigh,big,low,unacc
97,vhigh,vhigh,big,med,unacc
98,vhigh,vhigh,big,high,unacc
99,vhigh,vhigh,small,low,unacc
100,vhigh,vhigh,small,med,unacc
101,vhigh,vhigh,small,high,unacc
102,vhigh,vhigh,med,low,unacc
103,vhigh,vhigh,med,med,unacc
104,vhigh,vhigh,med,high,unacc
105,vhigh,vhigh,big,low,unacc
106,vhigh,vhigh,big,med,unacc
107,vhigh,vhigh,big,high,unacc
108,vhigh,high,small,low,unacc
109,vhigh,high,small,med,unacc
110,vhigh,high,small,high,unacc
111,vhigh,high,med,low,unacc
112,vhigh,high,med,med,unacc
113,vhigh,high,med,high,unacc
114,vhigh,high,big,low,unacc
115,vhigh,high,big,med,unacc
116,vhigh,high,big,high,unacc
117,vhigh,high,small,low,unacc
118,vhigh,high,small,med,unacc
119,vhigh,high,small,high,unacc
120,vhigh,high,med,low,unacc
121,vhigh,high,med,med,unacc
122,vhigh,high,med,high,unacc
123,vhigh,high,big,low,unacc
124,vhigh,high,big,med,unacc
125,vhigh,high,big,high,unacc
126,vhigh,high,small,low,unacc
127,vhigh,high,small,med,unacc
128,vhigh,high,small,high,unacc
129,vhigh,high,med,low,unacc
130,vhigh,high,med,med,unacc
131,vhigh,high,med,high,unacc
132,vhigh,high,big,low,unacc
133,vhigh,high,big,med,unacc
134,vhigh,high,big,high,unacc
135,vhigh,high,small,low,unacc
136,vhigh,high,small,med,unacc
137,vhigh,high,small,high,unacc
138,vhigh,high,med,low,unacc
139,vhigh,high,med,med,unacc
140,vhigh,high,med,high,unacc
141,vhigh,high,big,low,unacc
142,vhigh,high,big,med,unacc
143,vhigh,high,big,high,unacc
144,vhigh,high,small,low,unacc
145,vhigh,high,small,med,unacc
146,vhigh,high,small,high,unacc
147,vhigh,high,med,low,unacc
148,vhigh,high,med,med,unacc
149,vhigh,high,med,high,unacc
150,vhigh,high,big,low,unacc
151,vhigh,high,big,med,unacc
152,vhigh,high,big,high,unacc
153,vhigh,high,small,low,unacc
154,vhigh,high,small,med,unacc
155,vhigh,high,small,high,unacc
156,vhigh,high,med,low,unacc
157,vhigh,high,med,med,unacc
158,vhigh,high,med,high,unacc
159,vhigh,high,big,low,unacc
160,vhigh,high,big,med,unacc
161,vhigh,high,big,high,unacc
162,vhigh,high,small,low,unacc
163,vhigh,high,small,med,unacc
164,vhigh,high,small,high,unacc
165,vhigh,high,med,low,unacc
166,vhigh,high,med,med,unacc
167,vhigh,high,med,high,unacc
168,vhigh,high,big,low,unacc
169,vhigh,high,big,med,unacc
170,vhigh,high,big,high,unacc
171,vhigh,high,small,low,unacc
172,vhigh,high,small,med,unacc
173,vhigh,high,small,high,unacc
174,vhigh,high,med,low,unacc
175,vhigh,high,med,med,unacc
176,vhigh,high,med,high,unacc
177,vhigh,high,big,low,unacc
178,vhigh,high,big,med,unacc
179,vhigh,high,big,high,unacc
180,vhigh,high,small,low,unacc
181,vhigh,high,small,med,unacc
182,vhigh,high,small,high,unacc
183,vhigh,high,med,low,unacc
184,vhigh,high,med,med,unacc
185,vhigh,high,med,high,unacc
186,vhigh,high,big,low,unacc
187,vhigh,high,big,med,unacc
188,vhigh,high,big,high,unacc
189,vhigh,high,small,low,unacc
190,vhigh,high,small,med,unacc
191,vhigh,high,small,high,unacc
192,vhigh,high,med,low,unacc
193,vhigh,high,med,med,unacc
194,vhigh,high,med,high,unacc
195,vhigh,high,big,low,unacc
196,vhigh,high,big,med,unacc
197,vhigh,high,big,high,unacc
198,vhigh,high,small,low,unacc
199,vhigh,high,small,med,unacc
200,vhigh,high,small,high,unacc
201,vhigh,high,med,low,unacc
202,vhigh,high,med,med,unacc
203,vhigh,high,med,high,unacc
204,vhigh,high,big,low,unacc
205,vhigh,high,big,med,unacc
206,vhigh,high,big,high,unacc
207,vhigh,high,small,low,unacc
208,vhigh,high,small,med,unacc
209,vhigh,high,small,high,unacc
210,vhigh,high,med,low,unacc
211,vhigh,high,med,med,unacc
212,vhigh,high,med,high,unacc
213,vhigh,high,big,low,unacc
214,vhigh,high,big,med,unacc
215,vhigh,high,big,high,unacc
216,vhigh,med,small,low,unacc
217,vhigh,med,small,med,unacc
218,vhigh,med,small,high,unacc
219,vhigh,med,med,low,unacc
220,vhigh,med,med,med,unacc
221,vhigh,med,med,high,unacc
222,vhigh,med,big,low,unacc
223,vhigh,med,big,med,unacc
224,vhigh,med,big,high,unacc
225,vhigh,med,small,low,unacc
226,vhigh,med,small,med,unacc
227,vhigh,med,small,high,acc
228,vhigh,med,med,low,unacc
229,vhigh,med,med,med,unacc
230,vhigh,med,med,high,acc
231,vhigh,med,big,low,unacc
232,vhigh,med,big,med,acc
233,vhigh,med,big,high,acc
234,vhigh,med,small,low,unacc
235,vhigh,med,small,med,unacc
236,vhigh,med,small,high,unacc
237,vhigh,med,med,low,unacc
238,vhigh,med,med,med,unacc
239,vhigh,med,med,high,acc
240,vhigh,med,big,low,unacc
241,vhigh,med,big,med,acc
242,vhigh,med,big,high,acc
243,vhigh,med,small,low,unacc
244,vhigh,med,small,med,unacc
245,vhigh,med,small,high,unacc
246,vhigh,med,med,low,unacc
247,vhigh,med,med,med,unacc
248,vhigh,med,med,high,unacc
249,vhigh,med,big,low,unacc
250,vhigh,med,big,med,unacc
251,vhigh,med,big,high,unacc
252,vhigh,med,small,low,unacc
253,vhigh,med,small,med,unacc
254,vhigh,med,small,high,acc
255,vhigh,med,med,low,unacc
256,vhigh,med,med,med,unacc
257,vhigh,med,med,high,acc
258,vhigh,med,big,low,unacc
259,vhigh,med,big,med,acc
